Date,Produit,Categorie,Quantite,Prix,Ville
2026-01-03,Ordinateur,Informatique,2,450000,Cotonou
2026-01-05,Souris,Accessoire,10,8000,Porto-Novo
2026-01-08,Clavier,Accessoire,5,12000,Cotonou
2026-01-12,Telephone,Electronique,3,180000,Abomey-Calavi
2026-01-15,Ordinateur,Informatique,1,450000,Parakou
2026-02-02,Souris,Accessoire,15,8000,Cotonou
2026-02-07,Telephone,Electronique,5,180000,Cotonou
2026-02-14,Clavier,Accessoire,8,12000,Porto-Novo
2026-02-20,Ordinateur,Informatique,3,450000,Abomey-Calavi
2026-03-01,Telephone,Electronique,4,180000,Parakou
2026-03-05,Souris,Accessoire,20,8000,Cotonou
2026-03-12,Clavier,Accessoire,10,12000,Cotonou
